Source,Target,Type,Id
GDSC001790023200.txt,Nelson Street,location,6
GDSC001790059700.txt,Mississippi,location,50
GDSC001790059700.txt,Paris,location,5
GDSC001790059700.txt,West,location,1
GDSC001790059700.txt,Greenville,location,1
GDSC001790059700.txt,Bolivar County,location,1
GDSC001790059700.txt,Highway 82,location,1
GDSC001790059700.txt,Central Mississippi,location,1
GDSC001790059700.txt,Mir,location,1
GDSC001790059700.txt,Eastlands,location,1
GDSC001790059700.txt,East,location,1
GDSC001790059700.txt,Inverness,location,2
GDSC001790059700.txt,New York City,location,2
GDSC001790059700.txt,Winona,location,1
GDSC001790059700.txt,INC INDIANOLA,location,1
GDSC001790059700.txt,Wayland Clifton,location,1
GDSC001790059700.txt,Wayland Clifton Community Developer,location,1
GDSC001790059700.txt,Georgia,location,2
GDSC001790059700.txt,Mississiooi,location,1
GDSC001790059700.txt,Sunflower County,location,18
GDSC001790059700.txt,Holly Ridge,location,1
GDSC001790059700.txt,Washington,location,2
GDSC001790059700.txt,Rome,location,2
GDSC001790059700.txt,AVQLA,location,1
GDSC001790059700.txt,Harlem,location,1
GDSC001790059700.txt,Peachtree Street,location,2
GDSC001790059700.txt,Washington D.C.,location,1
GDSC001790059700.txt,Mississ,location,1
GDSC001790059700.txt,Wayland,location,2
GDSC001790059700.txt,Misourri,location,12
GDSC001790059700.txt,India,location,1
GDSC001790059700.txt,States,location,2
GDSC001790059700.txt,Mississippi Blaine,location,1
GDSC001790059700.txt,Darkest America,location,1
GDSC001790059700.txt,Broadway,location,2
GDSC001790059700.txt,Indianola,location,30
GDSC001790059700.txt,Ruleville,location,3
GDSC001790012500.txt,Mississippi,location,8
GDSC001790012500.txt,Jackson,location,3
GDSC001790012500.txt,CalhoUnited Nations Two JP,location,1
GDSC001790012500.txt,Montgomery Two JP,location,1
GDSC001790012500.txt,Humphreys Two JP,location,1
GDSC001790012500.txt,Forrest Two JP,location,1
GDSC001790012500.txt,State Building,location,1
GDSC001790012500.txt,Copiah Two JP,location,1
GDSC001790012500.txt,Pearl River,location,1
GDSC001790012500.txt,United States of America,location,3
GDSC001790012500.txt,DeSoto Two JP,location,1
GDSC001790012500.txt,Yazoo Two JP,location,1
GDSC001790012500.txt,Washington Two JP,location,1
GDSC001790012500.txt,Coahoma Two JP,location,1
GDSC001790012500.txt,Mississippi County,location,1
GDSC001790012500.txt,Holmes Two JP,location,1
GDSC001790012500.txt,Tunica Two JP,location,1
GDSC001790012500.txt,Chickasaw Two JP,location,1
GDSC001790012500.txt,Covington Two JP,location,1
GDSC001790012500.txt,Alcorn Two JP,location,1
GDSC001790012500.txt,Harrison Two JP,location,1
GDSC001790012500.txt,Lowndes Two JP,location,1
GDSC001790012500.txt,Hancock Two JP,location,1
GDSC001790039200.txt,Mississippi,location,14
GDSC001790039200.txt,Northeast,location,1
GDSC001790039200.txt,Caribbean,location,1
GDSC001790039200.txt,Guinea,location,1
GDSC001790039200.txt,Greenville,location,4
GDSC001790039200.txt,Asia,location,1
GDSC001790039200.txt,Soviet Union U.S.,location,1
GDSC001790039200.txt,Riverside Drive,location,1
GDSC001790039200.txt,North Sunflower County Hospital Ruleville,location,1
GDSC001790039200.txt,Jackson,location,1
GDSC001790039200.txt,Europe,location,1
GDSC001790039200.txt,Korea,location,1
GDSC001790039200.txt,New York City,location,16
GDSC001790039200.txt,Fifth Ave.,location,1
GDSC001790039200.txt,James St. Ruleville,location,1
GDSC001790039200.txt,Harris,location,1
GDSC001790039200.txt,China,location,1
GDSC001790039200.txt,Chile,location,1
GDSC001790039200.txt,Soviet Union,location,8
GDSC001790039200.txt,Las Amigas,location,1
GDSC001790039200.txt,Jnsion,location,1
GDSC001790039200.txt,New York City City,location,1
GDSC001790039200.txt,Johnson,location,1
GDSC001790039200.txt,Connecticut Ave.,location,1
GDSC001790039200.txt,United States of America,location,31
GDSC001790039200.txt,Washington,location,7
GDSC001790039200.txt,USSR,location,2
GDSC001790039200.txt,Stockholm,location,2
GDSC001790039200.txt,N.C.S.M.S.,location,1
GDSC001790039200.txt,Latin America,location,1
GDSC001790039200.txt,Washington D.C.,location,2
GDSC001790039200.txt,Grand Temple,location,1
GDSC001790039200.txt,Maryland Ave.,location,1
GDSC001790039200.txt,Africa,location,1
GDSC001790039200.txt,Indianola,location,2
GDSC001790039200.txt,United States Postage,location,1
GDSC001790034700.txt,Mississippi,location,3
GDSC001790034700.txt,Selma,location,1
GDSC001790034700.txt,Palmer Memorial Chapel Sumter,location,1
GDSC001790034700.txt,Montgomery,location,1
GDSC001790034700.txt,Newark,location,1
GDSC001790034700.txt,Arkansas,location,3
GDSC001790034700.txt,Indiana,location,1
GDSC001790034700.txt,Louisiana,location,2
GDSC001790034700.txt,Texas,location,4
GDSC001790034700.txt,Huntsville,location,1
GDSC001790034700.txt,Nashville,location,1
