doc,entity,type,count
GDSC001790039100.txt,baseball association,organization,1
GDSC001790039100.txt,Kentucky Fried Chicken.enjoys,organization,1
GDSC001790039100.txt,Foundation,organization,1
GDSC001790039100.txt,Jackson Independent Youth Baseball Association,organization,3
GDSC001790039100.txt,I Executive Committee Mississippi Council of Human Relations Jackson,organization,1
GDSC001790039100.txt,Tougaloo College,organization,3
GDSC001790039100.txt,fen,organization,1
GDSC001790039100.txt,Unifirst Federal,organization,2
GDSC001790039100.txt,Freedom Farm Cooperative,organization,1
GDSC001790039100.txt,Mississippi Hunger Coalition,organization,1
GDSC001790039100.txt,White Citizens Council School Foundation The Servian Club,organization,1
GDSC001790039100.txt,Civil Rights Division,organization,1
GDSC001790039100.txt,Choctaw Legal Defense Association,organization,1
GDSC001790039100.txt,Tombigbee Council,organization,1
GDSC001790039100.txt,MCHR Executive Committee TOUGALOO,organization,1
GDSC001790039100.txt,NABtM Board of Directors Mississippi Council,organization,1
GDSC001790039100.txt,Kentucky Fried Chicken,organization,11
GDSC001790039100.txt,Savings,organization,2
GDSC001790039100.txt,SPWashington D.C.,organization,1
GDSC001790039100.txt,HARPSTER,organization,1
GDSC001790039100.txt,Holiday Inn Medical Center,organization,1
GDSC001790039100.txt,Center for Equalization of Municipal Servioes,organization,1
GDSC001790039100.txt,Department of Justice,organization,1
GDSC001790039100.txt,Presbyterian Church,organization,1
GDSC001790039100.txt,Executive Committee,organization,4
GDSC001790039100.txt,Tihite Citizens Council School Foundation,organization,1
GDSC001790039100.txt,Coalition,organization,4
GDSC001790039100.txt,Mississippi Democratic Executive Committee,organization,2
GDSC001790039100.txt,Mississippi Council on Human Relations,organization,1
GDSC001790039100.txt,I Board,organization,1
GDSC001790039100.txt,Hueblein Inc.,organization,1
GDSC001790039100.txt,Civil Rights Division of the Justice Department,organization,1
GDSC001790039100.txt,Incorporated,organization,5
GDSC001790039100.txt,Field Foundation,organization,1
GDSC001790039100.txt,Mississippi Freedom Democratic Party,organization,1
GDSC001790039100.txt,Jackson State,organization,1
GDSC001790039100.txt,Frcm Junelle Organics Newsletter,organization,1
GDSC001790039100.txt,Legal Services Corporation,organization,1
GDSC001790039100.txt,Kentucky Pried Chicken,organization,2
GDSC001790039100.txt,Executive Committee of Mississippi Council,organization,1
GDSC001790039100.txt,Equalization of Municipal Servioes,organization,1
GDSC001790039100.txt,Enclosures Mississippi Council,organization,1
GDSC001790039100.txt,Political Science Club,organization,2
GDSC001790039100.txt,CLDA,organization,1
GDSC001790039100.txt,Little League,organization,4
GDSC001790039100.txt,Attorney General,organization,1
GDSC001790039100.txt,Campaign for Human Development,organization,1
GDSC001790039100.txt,Student Government Association,organization,2
GDSC001790039100.txt,National Democratic Party,organization,1
GDSC001790039100.txt,Equal Employment Opportunity Commission,organization,1
GDSC001790039100.txt,s Office,organization,1
GDSC001790039100.txt,CBS,organization,1
GDSC001790039100.txt,Jackson Kentucky Fried Chicken,organization,1
GDSC001790039100.txt,Vita C,organization,1
GDSC001790039100.txt,Servian Club,organization,5
GDSC001790039100.txt,Manager Equal Employment Opportunity Kentucky Fried Chicken P.,organization,1
GDSC001790039100.txt,Council,organization,4
GDSC001790039100.txt,Democratic Party,organization,2
GDSC001790039100.txt,Southern Prisoners Defense Committee,organization,1
GDSC001790039100.txt,MCHR,organization,6
GDSC001790039100.txt,Classification Commission,organization,1
GDSC001790039100.txt,First Congressional District Caucus,organization,1
GDSC001790039100.txt,New York City Foundation,organization,1
GDSC001790023200.txt,Summerville Church,organization,1
GDSC001790023200.txt,Sunflower,organization,1
GDSC001790023200.txt,National Committee for Free Election,organization,2
GDSC001790023200.txt,Mississippians United Steering Committee,organization,1
GDSC001790023200.txt,sippiens United to Elect Negro Candidates,organization,1
GDSC001790023200.txt,State,organization,1
GDSC001790023200.txt,Freedom Democratic,organization,1
GDSC001790023200.txt,Mississippians United to Elect Negro Candidates,organization,6
GDSC001790023200.txt,County FDP,organization,1
GDSC001790023200.txt,Steering Committee,organization,2
GDSC001790023200.txt,Delta Ministry,organization,3
GDSC001790023200.txt,Ridley Hill Baptist Church,organization,1
GDSC001790023200.txt,Elect Negro Candidates P.,organization,3
GDSC001790023200.txt,Executive Committee of the Mississippi Freedom Democratic Party,organization,1
GDSC001790023200.txt,Mississippians United,organization,6
GDSC001790023200.txt,Mississippi Freedom Democratic,organization,1
GDSC001790023200.txt,Executive Committee Mississippi Freedom Democratic Party,organization,1
GDSC001790059700.txt,Board of Directors Advisory Committee From,organization,1
GDSC001790059700.txt,Community Action Program,organization,2
GDSC001790059700.txt,Social Service,organization,2
GDSC001790059700.txt,Mississippi Sunflower,organization,1
GDSC001790059700.txt,Cleves Shields,organization,1
GDSC001790059700.txt,Barnes,organization,3
GDSC001790059700.txt,Start Policy Advisory Committee,organization,1
GDSC001790059700.txt,Administration,organization,1
GDSC001790059700.txt,Educational Programs Wayland R. Clifton,organization,1
GDSC001790059700.txt,Community Action Agencies,organization,1
GDSC001790059700.txt,VW,organization,1
GDSC001790059700.txt,Administrative Assistant,organization,1
GDSC001790059700.txt,Black,organization,1
GDSC001790059700.txt,Negro,organization,4
GDSC001790059700.txt,ACSC Each Board,organization,1
GDSC001790059700.txt,Progress,organization,1
GDSC001790059700.txt,Transportation,organization,1
GDSC001790059700.txt,Associated Communities of Sunflower County,organization,3
GDSC001790059700.txt,CAA,organization,110
GDSC001790059700.txt,INDIANA LA,organization,1
GDSC001790059700.txt,Regional Office,organization,8
GDSC001790059700.txt,Board of Directors,organization,2
GDSC001790059700.txt,Office of Economic Opportunity,organization,1
GDSC001790059700.txt,Head Start Programs,organization,1
GDSC001790059700.txt,Legal Services,organization,2
GDSC001790059700.txt,Board of Directors All Members of the Advisory Committee,organization,1
GDSC001790059700.txt,Congress,organization,1
GDSC001790059700.txt,Sunflower County Progress Head Start Centers,organization,1
GDSC001790059700.txt,OEO Regional Office on Appeals,organization,1
GDSC001790059700.txt,INC P.,organization,1
GDSC001790059700.txt,Mississippi State Department of Education,organization,1
GDSC001790059700.txt,The Nation,organization,1
GDSC001790059700.txt,Associated Communities of Sunflower County P.,organization,1
GDSC001790059700.txt,Board of Directors the Advisory Commit,organization,1
GDSC001790059700.txt,OEO Sunflower County Progress,organization,1
GDSC001790059700.txt,OEO Regional Office,organization,6
GDSC001790059700.txt,Colbert Crowe Board of Directors Advisory Committe,organization,1
GDSC001790059700.txt,Earl Educational Programs,organization,1
GDSC001790059700.txt,National Committee for Free Elections,organization,1
GDSC001790059700.txt,Pro.iect Payments Department of Labor,organization,1
GDSC001790059700.txt,Nutrition Services,organization,1
GDSC001790059700.txt,ACSC,organization,3
GDSC001790059700.txt,MISSISSIPPI Board of Directors,organization,1
GDSC001790059700.txt,Lear Siegler,organization,1
GDSC001790059700.txt,Transportation CMC,organization,1
GDSC001790059700.txt,State Department of Education,organization,1
GDSC001790059700.txt,Child Development Programs,organization,1
GDSC001790059700.txt,Community Employment Programs,organization,1
GDSC001790059700.txt,CAA Board,organization,2
GDSC001790059700.txt,Executive Committee,organization,2
GDSC001790059700.txt,National Committee,organization,1
GDSC001790059700.txt,Associated Coimvjniti.es of Sunflower County P.,organization,1
GDSC001790059700.txt,Public Relation Personnel of the Mississippi Highway Patrol,organization,1
GDSC001790059700.txt,Wayland R. Reed,organization,2
GDSC001790059700.txt,er County Progress,organization,1
GDSC001790059700.txt,Smith U,organization,1
GDSC001790059700.txt,OEO Headquarters,organization,1
GDSC001790059700.txt,Year Head Start Programs,organization,1
GDSC001790059700.txt,Incorporated,organization,26
GDSC001790059700.txt,Sunflower County Progress,organization,12
GDSC001790059700.txt,Mississippi Freedom Democratic Party,organization,1
GDSC001790059700.txt,Board of Directors of Sunflower County Progress,organization,6
GDSC001790059700.txt,Volunteers,organization,2
GDSC001790059700.txt,Securities and Exchange Commission,organization,1
GDSC001790059700.txt,Community Action Agency,organization,4
GDSC001790059700.txt,Board of the Association of Communities of Sunflower County,organization,1
GDSC001790059700.txt,Regional Technical Assistance Panel,organization,1
GDSC001790059700.txt,NYC Enrollees,organization,1
GDSC001790059700.txt,Association of Communities of Sunflower County,organization,2
GDSC001790059700.txt,APR,organization,1
GDSC001790059700.txt,Basic Adult Education Program,organization,1
GDSC001790059700.txt,CAA Board of Directors,organization,2
GDSC001790059700.txt,SCP,organization,2
GDSC001790059700.txt,Prepress,organization,1
GDSC001790059700.txt,Bellipanni,organization,3
GDSC001790059700.txt,Kur.tar Hith School P.,organization,1
GDSC001790059700.txt,OEO,organization,45
GDSC001790059700.txt,Board of Sunflower County Progress,organization,1
GDSC001790059700.txt,OTP,organization,1
GDSC001790059700.txt,Central Office,organization,2
GDSC001790059700.txt,Health Service,organization,1
GDSC001790059700.txt,Atlanta Regional Office,organization,1
GDSC001790012500.txt,Clay Two JP,organization,1
GDSC001790012500.txt,Party Primary,organization,1
GDSC001790012500.txt,K Lawyers Committee for Civil Rights 233 North Farish Street,organization,1
GDSC001790012500.txt,Justice,organization,1
GDSC001790012500.txt,J.P.,organization,11
GDSC001790012500.txt,Mississippi State Government,organization,1
GDSC001790012500.txt,State,organization,6
GDSC001790012500.txt,Chancery Clerk,organization,1
GDSC001790012500.txt,Republican Party Primary,organization,1
GDSC001790012500.txt,Amite Two JP,organization,1
GDSC001790012500.txt,Sunflower Two JP,organization,1
GDSC001790012500.txt,Noxubee Two JP,organization,1
GDSC001790012500.txt,State Legislature,organization,2
GDSC001790012500.txt,Party,organization,1
GDSC001790012500.txt,Board of Supervisors,organization,1
GDSC001790012500.txt,Juries,organization,1
GDSC001790012500.txt,Panola Two JP,organization,1
GDSC001790039200.txt,s Defense Fund Delta Ministry Emergency Land Fund Office of Black Economic Development,organization,1
GDSC001790039200.txt,Sigma Theta Sorority,organization,1
GDSC001790039200.txt,Wms,organization,1
GDSC001790039200.txt,Auxiliary of The National Dental Association,organization,1
GDSC001790039200.txt,Labor,organization,1
GDSC001790039200.txt,Division of Church and Society,organization,2
GDSC001790039200.txt,CME Church Woman,organization,1
GDSC001790039200.txt,House Armed Services Committee,organization,1
GDSC001790039200.txt,Fannie Lou,organization,1
GDSC001790039200.txt,Tougaloo College,organization,2
GDSC001790039200.txt,Nichols National Association of Fashion,organization,1
GDSC001790039200.txt,House Budget Committee,organization,2
GDSC001790039200.txt,Mississippi Housing Conference,organization,1
GDSC001790039200.txt,Post Office Bor,organization,1
GDSC001790039200.txt,International Ladies Garment Workers Union,organization,1
GDSC001790039200.txt,National Assembly for Social Policy,organization,1
GDSC001790039200.txt,United Nations Development Decade for Women,organization,1
GDSC001790039200.txt,Delta Ministry,organization,7
GDSC001790039200.txt,Housing Alliance,organization,1
GDSC001790039200.txt,Department of Housing and Urban Development,organization,2
GDSC001790039200.txt,Land Development and Control,organization,1
GDSC001790039200.txt,Incorporated,organization,6
GDSC001790039200.txt,Inc Woman,organization,1
GDSC001790039200.txt,s Missionary Council,organization,1
GDSC001790039200.txt,National Center,organization,1
GDSC001790039200.txt,Air Force,organization,1
GDSC001790039200.txt,MCC Walker,organization,1
GDSC001790039200.txt,AME Zion Church Women,organization,1
GDSC001790039200.txt,Recreatibn,organization,1
GDSC001790039200.txt,Housing Assistance Council,organization,1
GDSC001790039200.txt,Development Contributions,organization,1
GDSC001790039200.txt,Pentagon,organization,7
GDSC001790039200.txt,Senate Budget Committee,organization,2
GDSC001790039200.txt,Public Schools and Higher Education,organization,1
GDSC001790039200.txt,s Office,organization,1
GDSC001790039200.txt,s Missionary Society,organization,1
GDSC001790039200.txt,Social Service,organization,1
GDSC001790039200.txt,Alpha Kappa Alpha Sorority,organization,1
GDSC001790039200.txt,International Women United for Equality,organization,1
GDSC001790039200.txt,National Baptist Convention,organization,1
GDSC001790039200.txt,Ford,organization,1
GDSC001790039200.txt,Rural Housing Alliance,organization,2
GDSC001790039200.txt,World Peace Council,organization,1
GDSC001790039200.txt,Auxiliary,organization,1
GDSC001790039200.txt,First Budget Resolutions,organization,2
GDSC001790039200.txt,Zeta Phi Beta Sorority,organization,1
GDSC001790039200.txt,Budget,organization,2
GDSC001790039200.txt,MRWashington D.C.,organization,1
GDSC001790039200.txt,Phi Lambda Sorority Executive Committee At Large Ladies,organization,1
GDSC001790039200.txt,Delta Housing Development Corporation,organization,2
GDSC001790039200.txt,Fannie Lou Haimer Day Care Center,organization,1
GDSC001790039200.txt,s Clubs,organization,1
GDSC001790039200.txt,Workers Defense League,organization,4
GDSC001790039200.txt,Wed.,organization,1
GDSC001790039200.txt,People,organization,1
GDSC001790039200.txt,Continental Societies,organization,1
GDSC001790039200.txt,Criminal Justice,organization,1
GDSC001790039200.txt,s Peace Budget,organization,1
GDSC001790039200.txt,National Council of Women of the United,organization,1
GDSC001790039200.txt,s Federation,organization,1
GDSC001790039200.txt,lnternational Council of Women,organization,1
GDSC001790039200.txt,ATI,organization,1
GDSC001790039200.txt,National Council of Puerto Rican Volunteers United Nations Observer National Sorority of Phi Delta Kappa Mrs. Marietta Dockery Sigma Gamma Rho Sorority,organization,1
GDSC001790039200.txt,Daughters of Elks Treasurer,organization,1
GDSC001790039200.txt,Amalgamated Clothing Workers of America,organization,1
GDSC001790039200.txt,Mississippi Housing Alliance,organization,1
GDSC001790039200.txt,State Legislature,organization,1
GDSC001790039200.txt,Labor Safety,organization,1
GDSC001790039200.txt,ZIP National Office,organization,1
GDSC001790039200.txt,Voter Education,organization,1
GDSC001790039200.txt,Congress,organization,6
GDSC001790039200.txt,Vlc,organization,1
GDSC001790039200.txt,AME Church DELTA,organization,1
GDSC001790039200.txt,Price Control,organization,1
GDSC001790039200.txt,CPUnited States of America,organization,1
GDSC001790039200.txt,Defense Budget,organization,1
GDSC001790039200.txt,Eta Phi Beta Sorority,organization,1
GDSC001790039200.txt,IMG,organization,1
GDSC001790039200.txt,Ministry,organization,1
GDSC001790039200.txt,NCNW,organization,1
GDSC001790039200.txt,Coalition,organization,1
GDSC001790039200.txt,SRM,organization,18
GDSC001790039200.txt,Industrial Union Department,organization,1
GDSC001790039200.txt,Intemationsl Stockholm Peace Appeal,organization,1
GDSC001790039200.txt,Consumer Programs,organization,1
GDSC001790039200.txt,House,organization,3
GDSC001790039200.txt,Social Justice,organization,1
GDSC001790039200.txt,Rockefeller Brothers Fund,organization,1
GDSC001790039200.txt,NAME ADDRESS,organization,1
GDSC001790039200.txt,FMHA,organization,2
GDSC001790039200.txt,M Leonard Stamps,organization,1
GDSC001790039200.txt,Fiscal Responsibilities for Sponsored Related Movements,organization,1
GDSC001790039200.txt,CIA,organization,2
GDSC001790039200.txt,Congress Easter,organization,1
GDSC001790039200.txt,CIO,organization,1
GDSC001790039200.txt,ICBM,organization,1
GDSC001790039200.txt,United Nations,organization,2
GDSC001790039200.txt,MCC Leonard,organization,1
GDSC001790039200.txt,Labor Rights,organization,1
GDSC001790039200.txt,Ford Administration,organization,1
GDSC001790039200.txt,Armstrong Henry L Burks,organization,1
GDSC001790039200.txt,Senate Foreign Relations Committee,organization,1
GDSC001790039200.txt,Juvenile Justice,organization,1
GDSC001790039200.txt,Farmers Home Administration,organization,1
GDSC001790039200.txt,National Council of Churches,organization,2
GDSC001790039200.txt,M,organization,1
GDSC001790039200.txt,Governor,organization,1
GDSC001790039200.txt,profit Housing Development Corporation,organization,1
GDSC001790039200.txt,Young Adults Mrs. Edna Hopkins National Association of Negro Business And Professional Women,organization,1
GDSC001790039200.txt,Budget Committees,organization,4
GDSC001790039200.txt,U.S. Organizing Committee for the World Peace Council,organization,1
GDSC001790039200.txt,National Medical Association Woman,organization,1
GDSC001790039200.txt,New Stockholm Peace Appeal,organization,2
GDSC001790039200.txt,Senate,organization,3
GDSC001790039200.txt,Senate Government Operations Committee,organization,1
GDSC001790039200.txt,Senate Budget Committees,organization,1
GDSC001790039200.txt,Mason Tau Gamma Delta Sorority Standing Committees Chairpersons,organization,1
GDSC001790039200.txt,Trade Union Women Of African Heritage Mrs. Mabel Jackson Unitarian Universalist Women,organization,1
GDSC001790034700.txt,Diagnostic Radiology Meharry Medical College,organization,1
GDSC001790034700.txt,Center for Social Change Atlanta,organization,1
GDSC001790034700.txt,VHP,organization,1
GDSC001790034700.txt,Administrative Committee,organization,1
GDSC001790034700.txt,Madison County Community Action Committee,organization,1
GDSC001790034700.txt,Atlanta Life Insurance Company,organization,1
GDSC001790034700.txt,Student University of Arkansas Fayetteville,organization,1
GDSC001790034700.txt,Johnson New Brunswick,organization,1
GDSC001790034700.txt,NAACP,organization,1
GDSC001790034700.txt,Maryland Charlotte Medical Clinic,organization,1
GDSC001790034700.txt,Corporate Affairs,organization,1
GDSC001790034700.txt,C Associates,organization,1
GDSC001790034700.txt,Intercultural Development Research Associates,organization,1
GDSC001790034700.txt,Voter Education Project,organization,19
GDSC001790034700.txt,Department of Housing and Urban Development Birmingham,organization,1
GDSC001790034700.txt,VEP,organization,16
GDSC001790034700.txt,Incorporated,organization,3
GDSC001790034700.txt,Southern Regional Council,organization,1
GDSC001790034700.txt,Research and Communications,organization,1
GDSC001790034700.txt,WATS,organization,1
GDSC001790034700.txt,Community Organizations,organization,1
GDSC001790034700.txt,New Jersey,organization,1
GDSC001790034700.txt,Equal Employment Opportunity Commission,organization,1
GDSC001790034700.txt,Alabama Highway Patrol,organization,1
GDSC001790034700.txt,Technical Assistance to Black Elected,organization,1
GDSC001790034700.txt,General Field Services,organization,1
GDSC001790043500.txt,Joseph Harris Offioe Manager Mississippi Freedom Democratic Party P.,organization,1
GDSC001790043500.txt,Mississippi Freedom Democratic Party P.,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Freedom Democratic Party,organization,1
GDSC001790043500.txt,Democratic Party P.,organization,9
GDSC001790043500.txt,Damocratio Party P. O. Bos,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Freedom Desocratio Party P. O. Bex,organization,1
GDSC001790043500.txt,Pernsoratio Party P.,organization,1
GDSC001790043500.txt,Virginia,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Freedom Dsesoratie Party P.,organization,1
GDSC001790043500.txt,Damooratio Party P. Os Bex,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Freedom Democratic Party F.,organization,1
GDSC001790043500.txt,Fort,organization,1
GDSC001790043500.txt,Robertson Road Vest Orange,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Freedom Democratic Forty P.,organization,1
GDSC001790043500.txt,Pita Campbell,organization,1
GDSC001790043500.txt,Dfooratic Party,organization,1
GDSC001790043500.txt,Joseph Harris Office Manager Mississippi Ikeedam Democratic Party P.,organization,1
GDSC001790043500.txt,Bex,organization,1
GDSC001790043500.txt,Joseph Harris Office,organization,6
GDSC001790043500.txt,Mississippi Freedom Democratic Party,organization,3
GDSC001790043500.txt,Ups,organization,1
GDSC001790043500.txt,Democratic Party,organization,4
GDSC001790043500.txt,Joseph Hands Office,organization,1
GDSC001790043500.txt,Campbell,organization,1
GDSC001790043500.txt,Wis Joseph Harris Office,organization,1
GDSC001790043500.txt,Mississippi Prssdam Psmoorstio Patty P.,organization,1
GDSC001790047500.txt,In Bolivar,organization,1
GDSC001790047500.txt,New York City Times,organization,2
GDSC001790047500.txt,Circuit Court of Appeals,organization,1
GDSC001790047500.txt,Johnson Administration,organization,2
GDSC001790047500.txt,Georgetown University,organization,1
GDSC001790047500.txt,Tougaloo College,organization,1
GDSC001790047500.txt,Lynch Street,organization,1
GDSC001790047500.txt,Negro,organization,7
GDSC001790047500.txt,University Hospital,organization,1
GDSC001790047500.txt,Delta Ministry,organization,1
GDSC001790047500.txt,Jackson State College for Negroes,organization,1
GDSC001790047500.txt,Jackson State College,organization,1
GDSC001790047500.txt,United Auto Workers,organization,1
GDSC001790047500.txt,United States Court of Appeals,organization,1
GDSC001790047500.txt,National Committee,organization,1
GDSC001790047500.txt,National Student Assn,organization,1
GDSC001790047500.txt,Fifth Circuit,organization,3
GDSC001790047500.txt,Incorporated,organization,1
GDSC001790047500.txt,Jackson State,organization,3
GDSC001790047500.txt,Associated Sunflower Community Action Program,organization,1
GDSC001790047500.txt,Annle Mae King,organization,1
GDSC001790047500.txt,Capitol Hill,organization,1
GDSC001790047500.txt,Senate l Judiciary Committee,organization,1
GDSC001790047500.txt,Methodist Church,organization,1
GDSC001790047500.txt,8tates Court ot Appeals ing Negroes,organization,1
GDSC001790047500.txt,Justice Dept,organization,1
GDSC001790047500.txt,ObLvcls Z,organization,1
GDSC001790047500.txt,House Rules Committee,organization,1
GDSC001790047500.txt,s Office,organization,1
GDSC001790047500.txt,Seattle University,organization,3
GDSC001790047500.txt,Senate Judiciary Committee,organization,1
GDSC001790047500.txt,House Administration Committee,organization,4
GDSC001790047500.txt,Sunflower County Farm Cooperative,organization,2
GDSC001790047500.txt,Liberties Union,organization,1
GDSC001790047500.txt,Tbs Office of Economic Opportunity,organization,1
GDSC001790047500.txt,Office of Economic Opportunity for a Community Action Program,organization,1
GDSC001790047500.txt,General Education,organization,1
GDSC001790047500.txt,Office of Economic Opportunity,organization,1
GDSC001790047500.txt,Freedom Information Service ut Tougaloo,organization,1
GDSC001790047500.txt,MISSISSIPPI PANEL Majority Etactod,organization,1
GDSC001790047500.txt,National Women,organization,1
GDSC001790047500.txt,State Opportunities,organization,1
GDSC001790047500.txt,Direct New Poverty Program,organization,1
GDSC001790047500.txt,National Guardsmen,organization,1
GDSC001790047500.txt,Harvard,organization,1
GDSC001790047500.txt,US Supreme Court,organization,1
