Source,Target,Type,Id
GDSC001790019400.txt,Lyman,person,2
GDSC001790019400.txt,J. Edgar Hoover,person,1
GDSC001790019400.txt,Jr.,person,1
GDSC001790019400.txt,Anderson,person,1
GDSC001790019400.txt,Fred M. Vinson,person,1
GDSC001790019400.txt,Ramsey Clark,person,2
GDSC001790019400.txt,Turbeville,person,1
GDSC001790039100.txt,Pat H. Scanlon Young,person,1
GDSC001790039100.txt,Shriver,person,2
GDSC001790039100.txt,Jackson,person,14
GDSC001790039100.txt,Winifred Green,person,1
GDSC001790039100.txt,SHANKMAN,person,1
GDSC001790039100.txt,II Pyles,person,1
GDSC001790039100.txt,Walter J. Simon,person,1
GDSC001790039100.txt,Michael Raff Hueblein,person,1
GDSC001790039100.txt,Hannon,person,3
GDSC001790039100.txt,DANNY E. CUNT JOHN L MAXBY,person,1
GDSC001790039100.txt,Thomas J. Money,person,1
GDSC001790039100.txt,Colton M. Smith,person,1
GDSC001790039100.txt,Debra Jackson,person,1
GDSC001790039100.txt,David Stephens thatMNichael Raff,person,1
GDSC001790039100.txt,Black,person,1
GDSC001790039100.txt,Scanlon,person,3
GDSC001790039100.txt,Penny Hutcherson,person,1
GDSC001790039100.txt,Betty Pearson,person,1
GDSC001790039100.txt,Michael Raff,person,8
GDSC001790039100.txt,David Rice Colton M. Smith,person,1
GDSC001790039100.txt,Cupit,person,1
GDSC001790039100.txt,Lampkin,person,1
GDSC001790039100.txt,Jean Sweet,person,1
GDSC001790039100.txt,Larry Miller,person,1
GDSC001790039100.txt,Lomax B. Lamb,person,1
GDSC001790039100.txt,Alvenia Hull,person,2
GDSC001790039100.txt,Duncan Gray,person,1
GDSC001790039100.txt,Pat H. Scanlon,person,1
GDSC001790039100.txt,Robert E. Thomas,person,1
GDSC001790039100.txt,Don Fortenberry,person,1
GDSC001790039100.txt,Q,person,1
GDSC001790039100.txt,Andy Carr,person,1
GDSC001790039100.txt,Fannie Lou Hamer,person,25
GDSC001790039100.txt,Helen,person,1
GDSC001790039100.txt,Jane Schutt,person,1
GDSC001790039100.txt,Helen Humes,person,1
GDSC001790039100.txt,Charles Gailes,person,1
GDSC001790039100.txt,David E. Stephens J. C. Fairley Judy Kellogg Aurelia,person,1
GDSC001790039100.txt,Simmie Johnson,person,1
GDSC001790039100.txt,Vita Lea,person,3
GDSC001790039100.txt,Thomases,person,1
GDSC001790039100.txt,Raff,person,4
GDSC001790039100.txt,Young,person,1
GDSC001790039100.txt,Willie Griffin,person,1
GDSC001790039100.txt,Aaron Henry,person,2
GDSC001790039100.txt,Henry Clay,person,2
GDSC001790039100.txt,Michael,person,6
GDSC001790039100.txt,Ify,person,1
GDSC001790039100.txt,Nancy Stevens,person,1
GDSC001790039100.txt,James Street Ruleville,person,1
GDSC001790039100.txt,Patricia Derian,person,1
GDSC001790039100.txt,Jr.,person,1
GDSC001790039100.txt,Aaron Shirley,person,1
GDSC001790039100.txt,Matthew Page,person,1
GDSC001790039100.txt,Danny Cupit,person,5
GDSC001790039100.txt,Tony Dunbar,person,1
GDSC001790039100.txt,Aurelia Young,person,4
GDSC001790039100.txt,Tom Money,person,1
GDSC001790039100.txt,Jean,person,2
GDSC001790039100.txt,Jake Ayers,person,1
GDSC001790039100.txt,Sarge Shriver,person,1
GDSC001790039100.txt,RICKEY,person,1
GDSC001790039100.txt,Bannon,person,1
GDSC001790039100.txt,Danny E.,person,1
GDSC001790039100.txt,Sarge,person,5
GDSC001790039100.txt,Carolyn Parker,person,2
GDSC001790039100.txt,Delores Campbell,person,1
GDSC001790039100.txt,Lucy Money,person,1
GDSC001790039100.txt,J. C. Fairley,person,1
